time,msenconds,signal,signal_copy
00:02:56.317416,0.413,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.319683,0.413,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.321208,0.413,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.322518,0.413,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.351813,0.448,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.454434,0.550,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.554820,0.651,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.654382,0.750,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.752300,0.848,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.854352,0.950,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:56.954759,1.051,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.055189,1.151,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.155509,1.251,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.255095,1.351,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.356234,1.452,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.453891,1.550,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.555427,1.651,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.656124,1.752,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.756588,1.852,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.857362,1.953,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:57.956447,2.052,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:58.056795,2.153,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:02:58.158015,2.254,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
